numero,codigo_original,nome_original,nome_ficticio,descricao,qtd,unitario,total
1,PROD-2471,"Sofá Napoli","Sofá Brisa","Sofá design minimalista curvo, medida 3,15 metros, malga grigio",1,"R$ 28.893,00","R$ 28.893,00"
2,PROD-3925,"Cadeira Claudia","Cadeira Melia","Estrutura madeira tonalidade mel, tecido linho cinza claro, L56XA84XP52, T2105 assento 47cm",8,"R$ 957,00","R$ 7.656,00"
3,PROD-3028,"Cadeira Nori","Cadeira Neve","Estrutura madeira com detalhe em aço pintado branco, tecido claro TEC 155, medida 56x56,5x76,5",2,"R$ 2.107,00","R$ 4.214,00"
4,PROD-6411,"Cadeira Fenda","Cadeira Horizonte","Tecido linho claro 584, estrutura mel claro, medidas L49x P54x A82",3,"R$ 3.610,00","R$ 10.830,00"
5,PROD-2698,"Cadeira Vira Vira","Cadeira Siena","Estrutura pintura preta, couro natural camel, medida L55x P58x A77, designer Pedro Useche",1,"R$ 3.750,00","R$ 3.750,00"
6,PROD-5825,"Cadeira Diva","Cadeira Âmbar","Estrutura ebanizada, assento couro caramelo, L42 x P57 x A79, designer Ronald Sasson",1,"R$ 2.575,00","R$ 2.575,00"
7,PROD-8087,"Cadeira Aurora","Cadeira Palha Dourada","Mista com braço 310, palha sextavada cru natural, medida 59Lx52Px82A, design Daniel Simonini",2,"R$ 4.860,00","R$ 9.720,00"
8,PROD-7091,"Cadeira Dalila","Cadeira Jangada","Assento fibra sintética, estrutura madeira jequitibá A.80, L57 P60, designer Daniela Ferro",2,"R$ 3.760,00","R$ 7.520,00"
9,PROD-5289,"Cadeira Piaf","Cadeira Orla","Estrutura madeira natural e palha sextavada natural, medida 53Lx43Px81A, designer Tiago Curioni",2,"R$ 2.670,00","R$ 5.340,00"
10,PROD-5921,"Cadeira Bee","Cadeira Giro","Base giratória alum, braços laminados, Tec 0402, A82xL61xP57, designer Devid Almeida",1,"R$ 5.868,00","R$ 5.868,00"
11,PROD-6305,"Poltrona Melk","Poltrona Luar","Base dourado fosco, tecido preto B2153, medida 76x67x71",2,"R$ 2.758,00","R$ 5.516,00"
